ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
1274,1,0,Retour foyer - inactivite,35,0,54
2048,1,1,Retour foyer - inactivite,28,47,60
1100,1,0,Retour foyer - inactivite,25,44,58
1929,1,0,Retour foyer - inactivite,29,48,57
168,0,0,Retour foyer - inactivite,38,57,62
2227,0,0,Retour foyer - inactivite,24,43,69
2163,1,0,Retour foyer - inactivite,33,0,52
2636,0,0,Retour foyer - inactivite,24,43,63
2728,1,1,Retour foyer - inactivite,26,45,50
2510,1,0,Retour foyer - inactivite,25,44,55
344,1,0,Retour foyer - inactivite,32,51,51
752,1,1,Retour foyer - inactivite,35,0,54
806,1,0,Retour foyer - inactivite,25,44,52
2038,1,1,Autres,30,0,50
389,1,1,Retour foyer - inactivite,30,0,50
1656,0,0,Retour foyer - inactivite,24,44,71
1389,1,0,Retour foyer - inactivite,24,44,51
1388,1,0,Retour foyer - inactivite,20,40,58
767,0,0,Autres,48,0,68
303,1,0,Retour foyer - inactivite,25,45,55
2108,1,0,Retour foyer - inactivite,35,0,55
1463,1,1,Autres,30,0,50
2293,1,0,Retour foyer - inactivite,32,0,52
2547,0,1,Retour foyer - inactivite,27,47,63
2715,1,0,Retour foyer - inactivite,35,0,56
367,0,0,Retour foyer - inactivite,27,48,69
1171,0,0,Retour foyer - inactivite,22,43,68
483,1,0,Retour foyer - inactivite,30,0,51
1350,0,0,Retour foyer - inactivite,47,0,68
537,0,0,Autres,42,0,63
2156,1,0,Retour foyer - inactivite,32,0,53
717,0,0,Retour foyer - inactivite,28,50,62
2930,1,1,Retour foyer - inactivite,29,0,51
1676,1,0,Retour foyer - inactivite,24,46,54
693,1,1,Retour foyer - inactivite,30,0,52
2787,0,0,Retour foyer - inactivite,18,40,62
2121,1,0,Retour foyer - inactivite,28,50,50
542,1,1,Retour foyer - inactivite,30,0,52
2169,0,0,Retour foyer - inactivite,21,44,70
540,1,1,Autres,27,0,50
2750,1,0,Retour foyer - inactivite,27,0,50
1391,0,0,Retour foyer - inactivite,24,47,68
447,0,0,Retour foyer - inactivite,41,0,64
426,1,0,Autres,34,0,57
157,1,1,Retour foyer - inactivite,27,0,50
488,1,1,Autres,32,0,55
2698,1,0,Retour foyer - inactivite,33,0,56
2568,1,1,Retour foyer - inactivite,34,0,57
233,1,0,Autres,31,0,54
875,0,0,Retour foyer - inactivite,27,50,64
1493,1,0,Retour foyer - inactivite,21,45,54
2002,1,0,Retour foyer - inactivite,28,0,52
385,1,1,Retour foyer - inactivite,30,0,54
1789,0,0,Retour foyer - inactivite,27,51,67
320,1,1,Retour foyer - inactivite,25,0,49
2041,1,0,Retour foyer - inactivite,20,44,58
502,1,1,Autres,28,0,52
818,1,1,Retour foyer - inactivite,28,0,52
2763,1,0,Retour foyer - inactivite,28,0,52
1186,1,1,Retour foyer - inactivite,29,0,53
2171,1,1,Retour foyer - inactivite,28,52,60
1955,1,0,Retour foyer - inactivite,27,0,52
2309,1,1,Retour foyer - inactivite,26,0,51
2312,1,0,Retour foyer - inactivite,21,46,56
2498,1,0,Autres,29,0,54
2735,1,0,Retour foyer - inactivite,35,0,60
177,1,1,Retour foyer - inactivite,29,0,54
2617,0,0,Retour foyer - inactivite,45,0,70
2373,1,1,Retour foyer - inactivite,27,0,52
2178,0,1,Autres,21,47,69
1951,1,0,Retour foyer - inactivite,26,0,52
2396,1,0,Retour foyer - inactivite,24,50,53
201,1,1,Retour foyer - inactivite,29,0,55
216,0,1,Retour foyer - inactivite,25,51,67
1158,1,0,Retour foyer - inactivite,27,0,53
302,0,1,Autres,35,0,61
1883,1,1,Autres,24,0,50
1407,1,1,Retour foyer - inactivite,29,0,55
295,1,0,Retour foyer - inactivite,22,0,49
585,0,0,Retour foyer - inactivite,28,55,67
2103,1,1,Retour foyer - inactivite,25,0,52
481,0,1,Retour foyer - inactivite,37,0,64
2502,1,0,Retour foyer - inactivite,27,0,54
548,1,0,Autres,24,0,51
620,1,1,Retour foyer - inactivite,23,0,51
2622,1,0,Retour foyer - inactivite,24,0,52
1880,1,1,Retour foyer - inactivite,26,0,54
633,1,0,Retour foyer - inactivite,25,53,57
770,1,0,Autres,27,0,55
1342,0,0,Retour foyer - inactivite,38,0,66
2118,0,0,Retour foyer - inactivite,38,0,66
1763,1,1,Retour foyer - inactivite,27,0,55
1959,1,0,Retour foyer - inactivite,31,0,59
2933,1,1,Retour foyer - inactivite,27,0,55
2292,1,0,Retour foyer - inactivite,32,0,60
2673,1,0,Retour foyer - inactivite,26,0,55
1816,1,0,Autres,22,0,51
909,1,1,Autres,25,0,54
369,1,0,Retour foyer - inactivite,20,0,49
451,1,0,Retour foyer - inactivite,23,0,52
173,1,1,Autres,29,0,58
1638,1,1,Retour foyer - inactivite,23,0,52
1946,0,0,Retour foyer - inactivite,33,0,62
1378,0,0,Retour foyer - inactivite,36,0,66
1343,1,1,Retour foyer - inactivite,30,0,60
2211,1,0,Retour foyer - inactivite,22,0,52
551,1,1,Autres,26,0,56
2177,1,0,Retour foyer - inactivite,24,0,54
2887,0,0,Retour foyer - inactivite,39,0,69
1126,0,0,Autres,39,0,69
2836,1,1,Retour foyer - inactivite,27,0,57
175,1,0,Retour foyer - inactivite,21,0,51
1912,1,1,Autres,23,0,53
1101,1,1,Autres,26,0,57
2761,1,0,Retour foyer - inactivite,22,0,53
156,1,0,Retour foyer - inactivite,26,0,57
623,1,1,Autres,22,0,53
1966,1,0,Retour foyer - inactivite,25,0,56
2334,1,1,Autres,27,0,58
2296,1,0,Autres,21,0,52
2514,1,0,Autres,23,0,54
2096,1,0,Retour foyer - inactivite,24,0,56
1094,1,0,Retour foyer - inactivite,20,0,52
443,1,1,Retour foyer - inactivite,26,0,58
938,1,0,Retour foyer - inactivite,20,0,52
2106,1,1,Retour foyer - inactivite,28,0,60
2582,1,0,Retour foyer - inactivite,21,0,53
